id,Total,White,Black,Indian_Alaska,Asian,Hawaiian_Pacific,Some_Other,Two_or_More,Hispanic_Latino
60871220011,64125,61250,,,,,,,
60871220012,106875,77361,,,,,,,158625
60871220013,60341,68500,,,,,28523,,9722
60871220014,64722,115323,,,,,,36524,115043
60871220015,82426,88977,,,,,62875,,64250
60871220021,97596,98221,,,,,,49188,31667
60871220022,107115,110337,,,85739,,,,
60871220031,94038,94038,,,,,,63162,32390
60871220032,54279,54311,,,,,,,94583
60871220033,78582,85481,,,205341,,24952,59167,28355
60871220034,53173,49732,,,,,,,145192
60871220035,49904,44464,,,,,,,
60871221001,70000,68977,,,,,,,30288
60871221002,73988,73095,,,,,85417,,28438
60871221003,52250,47656,,,80045,,65114,80417,26750
60871222011,100500,112734,,,,,,,
60871222012,115481,116442,,,,,,,
60871222013,81161,85302,,,,,,,
60871222014,108672,131250,,,,,12328,,105694
60871222015,71250,72949,,,,,,,68536
60871222016,68229,68854,,,,,,,14464
60871222017,51556,51556,,,,,,,82841
60871222021,90329,89115,,,160179,,,,166250
60871222031,89891,89946,,2499,59632,,,,
60871222032,78750,80385,,,,,,,99023
60871223001,49500,49219,,,,,,,33533
60871223002,112188,113194,,,,,,,
60871223003,73889,69828,,,127500,,,,111875
60871224001,78926,78345,,,,,243375,,67222
60871224002,38500,39333,,,,,,,
60871224003,77841,77784,,,250001,,,,48381
60871224004,102353,102353,,,,,,,
60871224005,75568,75455,,,,,,,70000
60871224006,80093,80648,,,,,,,70587
60871225001,62917,46125,,,,,114583,,31554
60871225002,49129,44550,,,97292,,48902,,49280
60871225003,70804,70089,250001,,,,60395,,62368
60871225004,57348,55682,,,102115,,61042,92875,56705
60871231001,47074,46932,,,,,,,46392
60871231002,63785,62951,,,,,77083,,63229
60871233001,55625,59412,,,,,11960,,38889
