id,,Total,,
060871001001,368
060871001002,543
060871002001,244
060871002002,319
060871002003,496
060871002004,355
060871002005,649
060871002006,379
060871002007,243
060871003001,531
060871003002,668
060871004001,456
060871005001,426
060871005002,844
060871005003,656
060871006001,540
060871006002,363
060871006003,301
060871007001,396
060871007002,517
060871008001,531
060871008002,268
060871008003,142
060871008004,942
060871008005,471
060871008006,292
060871008007,424
060871009001,327
060871009002,754
060871009003,205
060871009004,303
060871009005,237
060871010001,910
060871010002,307
060871010003,313
060871010004,281
060871010005,246
060871010006,826
060871010007,652
060871011001,145
060871011002,443
060871011003,298
060871011004,84
060871011005,213
060871011006,617
060871011007,520
060871012001,380
060871012002,336
060871012003,528
060871101001,469
060871101002,372
060871101003,602
060871101004,1078
060871102001,958
060871102002,509
060871102003,341
060871102004,433
060871103001,281
060871103002,488
060871103003,442
060871103004,540
060871104001,1485
060871104002,366
060871105011,651
060871105012,785
060871105013,499
060871105021,621
060871105022,610
060871105023,261
060871106001,522
060871106002,307
060871106003,815
060871106004,498
060871107001,385
060871107002,461
060871202001,1107
060871202002,469
060871203011,1189
060871203012,825
060871203021,282
060871203022,537
060871203023,240
060871204001,615
060871204002,400
060871204003,752
060871204004,466
060871205001,1349
060871205002,684
060871205003,667
060871206001,262
060871206002,421
060871206003,279
060871206004,920
060871207001,295
060871207002,644
060871207003,620
060871208001,1022
060871208002,759
060871208003,693
060871209001,93
060871209002,383
060871209003,889
060871209004,706
060871209005,947
060871210001,652
060871210002,308
060871210003,388
060871211001,258
060871211002,888
060871212001,352
060871212002,410
060871212003,1321
060871212004,420
060871213001,763
060871213002,212
060871213003,336
060871213004,241
060871214011,356
060871214012,508
060871214021,779
060871214022,689
060871214031,950
060871214032,302
060871215001,686
060871215002,993
060871215003,361
060871215004,338
060871216001,342
060871216002,790
060871216003,876
060871216004,599
060871217001,1008
060871217002,411
060871217003,630
060871217004,973
060871218001,522
060871218002,804
060871218003,794
060871218004,195
060871220011,1372
060871220012,451
060871220021,773
060871220022,583
060871220031,674
060871220032,360
060871220033,914
060871220034,698
060871221001,871
060871221002,471
060871222011,769
060871222012,924
060871222013,740
060871222014,296
060871222021,793
060871222031,953
060871222032,601
060871223001,749
060871223002,333
060871223003,401
060871224001,654
060871224002,861
060871224003,428
060871224004,306
060871224005,218
060871225001,515
060871225002,377
060871225003,437
060871231001,758
060871233001,436
