id,ten,eleven,twelve,thirteen,fourteen
60871220031,935100,808600,704200,658900,660700
60871220032,338900,412800,368500,400000,352500
60871220033,478400,438200,420100,416300,387400
60871220034,777100,738000,647900,659400,665700
60871220035,204100,198300,205600,95300,240000
60871221001,754700,691200,630400,624100,673200
60871221002,651100,633800,610500,599300,621400
60871221003,435300,422400,415000,356100,334600
60871222011,702400,703000,666000,647000,639100
60871222012,957300,900800,951300,756000,746400
60871222013,798700,723000,668000,681500,701300
60871222014,882800,873100,741500,701700,664100
60871222015,542900,579900,545300,622700,625000
60871222016,636100,665000,645100,653000,634100
60871222017,863600,680600,633900,601200,575000
60871222021,817300,757900,735100,697300,671400
60871222031,861300,839600,788100,735500,737000
60871222032,926400,776000,717900,692800,688700
60871223001,815800,1000000,703800,740400,958300
60871223002,901800,871000,908000,947300,986100
60871223003,835000,844100,745600,801600,793400
60871224001,741500,703900,611900,544100,543200
60871224002,907700,870000,1000001,669500,650900
60871224003,1000001,858200,755500,753800,787600
60871224004,807300,729600,631700,595000,433300
60871224005,880100,752200,667300,623500,641500
60871224006,481300,446400,354900,519900,587400
60871225001,362700,359200,309200,285800,290100
60871225002,386700,342100,316700,308900,328700
60871225003,536500,432300,414100,366700,377600
60871225004,484400,425000,378100,353900,353100
60871231001,594600,462500,398200,391300,413300
60871231002,497700,443400,407900,301500,170700
60871233001,891800,799100,757600,631800,625000
