id,Total
060871001001,331
060871001002,477
060871002001,339
060871002002,243
060871002003,642
060871002004,354
060871002005,577
060871002006,389
060871002007,238
060871003001,596
060871003002,728
060871004001,127
060871004002,0
060871004003,339
060871005001,465
060871005002,906
060871005003,951
060871006001,774
060871006002,422
060871006003,226
060871007001,407
060871007002,702
060871008001,513
060871008002,533
060871008003,527
060871008004,840
060871008005,571
060871008006,290
060871009001,492
060871009002,889
060871009003,285
060871009004,374
060871009005,309
060871010001,963
060871010002,369
060871010003,312
060871010004,287
060871010005,226
060871010006,1074
060871010007,636
060871011001,600
060871011002,369
060871011003,299
060871011004,817
060871011005,353
060871012001,390
060871012002,400
060871012003,585
060871101001,432
060871101002,404
060871101003,564
060871101004,1142
060871102001,550
060871102002,451
060871102003,304
060871102004,462
060871102005,459
060871103001,416
060871103002,360
060871103003,495
060871103004,567
060871104001,546
060871104002,366
060871104003,333
060871104004,853
060871105011,758
060871105012,578
060871105013,440
060871105014,376
060871105021,570
060871105022,664
060871105023,282
060871106001,567
060871106002,305
060871106003,303
060871106004,762
060871106005,415
060871107001,387
060871107002,293
060871107003,206
060871202001,1252
060871202002,491
060871203011,872
060871203012,773
060871203013,701
060871203021,262
060871203022,545
060871203023,314
060871204001,699
060871204002,421
060871204003,945
060871204004,449
060871205001,359
060871205002,734
060871205003,731
060871205004,646
060871205005,325
060871206001,316
060871206002,379
060871206003,381
060871206004,523
060871206005,416
060871207001,542
060871207002,645
060871207003,888
060871208001,1106
060871208002,708
060871208003,635
060871209001,1138
060871209002,519
060871209003,1002
060871209004,673
060871210001,797
060871210002,322
060871210003,417
060871211001,320
060871211002,883
060871212001,268
060871212002,567
060871212003,897
060871212004,456
060871212005,332
060871213001,748
060871213002,250
060871213003,455
060871213004,241
060871214011,377
060871214012,546
060871214021,541
060871214022,847
060871214023,261
060871214031,711
060871214032,408
060871214033,294
060871215001,598
060871215002,513
060871215003,825
060871215004,547
060871215005,333
060871216001,319
060871216002,545
060871216003,1147
060871216004,618
060871216005,555
060871217001,1035
060871217002,186
060871217003,258
060871217004,1217
060871217005,208
060871217006,271
060871218001,734
060871218002,760
060871218003,843
060871218004,263
060871220011,560
060871220012,222
060871220013,284
060871220014,223
060871220015,673
060871220021,863
060871220022,577
060871220031,547
060871220032,533
060871220033,1108
060871220034,352
060871220035,284
060871221001,620
060871221002,706
060871221003,588
060871222011,424
060871222012,949
060871222013,564
060871222014,244
060871222015,488
060871222016,613
060871222017,212
060871222021,909
060871222031,979
060871222032,756
060871223001,835
060871223002,436
060871223003,959
060871224001,805
060871224002,349
060871224003,412
060871224004,478
060871224005,340
060871224006,368
060871225001,251
060871225002,440
060871225003,537
060871225004,295
060871231001,436
060871231002,389
060871233001,468
060879901000,0
