id,contract_rent
60871001001,1875
60871001002,2001
60871002001,1438
60871002002,1691
60871002003,1548
60871002004,1218
60871002005,1408
60871002006,1203
60871002007,1895
60871003001,2001
60871003002,1232
60871004001,
60871004002,
60871004003,1378
60871005001,1957
60871005002,1660
60871005003,1520
60871006001,1184
60871006002,1391
60871006003,1563
60871007001,1330
60871007002,875
60871008001,1295
60871008002,1480
60871008003,1225
60871008004,1240
60871008005,1214
60871008006,1346
60871009001,1550
60871009002,1144
60871009003,1143
60871009004,2001
60871009005,1410
60871010001,1035
60871010002,1279
60871010003,1546
60871010004,740
60871010005,1833
60871010006,1499
60871010007,1114
60871011001,1333
60871011002,747
60871011003,1309
60871011004,1699
60871011005,1613
60871012001,1554
60871012002,2001
60871012003,1920
60871101001,894
60871101002,929
60871101003,1013
60871101004,1179
60871102001,1360
60871102002,925
60871102003,1066
60871102004,966
60871102005,1570
60871103001,1059
60871103002,989
60871103003,1047
60871103004,805
60871104001,1022
60871104002,964
60871104003,1344
60871104004,1406
60871105011,964
60871105012,1089
60871105013,1407
60871105014,1305
60871105021,1180
60871105022,1150
60871105023,1588
60871106001,1054
60871106002,859
60871106003,1571
60871106004,441
60871106005,761
60871107001,1207
60871107002,1516
60871107003,1208
60871202001,1225
60871202002,1203
60871203011,1005
60871203012,1079
60871203013,1740
60871203021,848
60871203022,1172
60871203023,1122
60871204001,1465
60871204002,1387
60871204003,1141
60871204004,1538
60871205001,2001
60871205002,1661
60871205003,1243
60871205004,340
60871205005,924
60871206001,1438
60871206002,925
60871206003,1435
60871206004,633
60871206005,1348
60871207001,693
60871207002,996
60871207003,1313
60871208001,2001
60871208002,1559
60871208003,1108
60871209001,1627
60871209002,979
60871209003,1473
60871209004,1745
60871210001,1473
60871210002,985
60871210003,1047
60871211001,1152
60871211002,1319
60871212001,1404
60871212002,2001
60871212003,1266
60871212004,1280
60871212005,1625
60871213001,1564
60871213002,2001
60871213003,1621
60871213004,1685
60871214011,836
60871214012,1368
60871214021,1421
60871214022,1312
60871214023,645
60871214031,549
60871214032,1349
60871214033,1237
60871215001,1356
60871215002,1461
60871215003,1508
60871215004,1310
60871215005,1167
60871216001,1190
60871216002,1806
60871216003,1202
60871216004,1229
60871216005,898
60871217001,1382
60871217002,416
60871217003,1709
60871217004,1430
60871217005,1628
60871217006,830
60871218001,1836
60871218002,1389
60871218003,1352
60871218004,2001
60871220011,1146
60871220012,
60871220013,1665
60871220014,1409
60871220015,1218
60871220021,1367
60871220022,2001
60871220031,946
60871220032,1589
60871220033,1782
60871220034,1207
60871220035,1260
60871221001,1077
60871221002,1621
60871221003,1193
60871222011,2001
60871222012,1808
60871222013,
60871222014,741
60871222015,1450
60871222016,1283
60871222017,1395
60871222021,2001
60871222031,1651
60871222032,1698
60871223001,847
60871223002,643
60871223003,859
60871224001,1125
60871224002,1390
60871224003,1232
60871224004,493
60871224005,1347
60871224006,1635
60871225001,888
60871225002,1344
60871225003,1330
60871225004,1613
60871231001,1034
60871231002,1188
60871233001,909
