id,Total
060871001001,340
060871001002,503
060871002001,268
060871002002,336
060871002003,634
060871002004,309
060871002005,596
060871002006,408
060871002007,257
060871003001,639
060871003002,664
060871004001,137
060871004002,0
060871004003,344
060871005001,403
060871005002,979
060871005003,916
060871006001,668
060871006002,449
060871006003,282
060871007001,438
060871007002,665
060871008001,501
060871008002,516
060871008003,527
060871008004,937
060871008005,518
060871008006,304
060871009001,458
060871009002,850
060871009003,331
060871009004,411
060871009005,301
060871010001,909
060871010002,380
060871010003,336
060871010004,394
060871010005,273
060871010006,908
060871010007,567
060871011001,617
060871011002,324
060871011003,288
060871011004,878
060871011005,374
060871012001,428
060871012002,432
060871012003,508
060871101001,432
060871101002,387
060871101003,582
060871101004,1129
060871102001,424
060871102002,563
060871102003,340
060871102004,434
060871102005,496
060871103001,387
060871103002,429
060871103003,416
060871103004,634
060871104001,580
060871104002,383
060871104003,319
060871104004,828
060871105011,737
060871105012,464
060871105013,446
060871105014,483
060871105021,555
060871105022,684
060871105023,288
060871106001,562
060871106002,253
060871106003,252
060871106004,760
060871106005,461
060871107001,400
060871107002,264
060871107003,206
060871202001,1188
060871202002,500
060871203011,855
060871203012,850
060871203013,641
060871203021,298
060871203022,552
060871203023,294
060871204001,715
060871204002,472
060871204003,967
060871204004,356
060871205001,404
060871205002,749
060871205003,764
060871205004,575
060871205005,317
060871206001,331
060871206002,368
060871206003,321
060871206004,508
060871206005,454
060871207001,459
060871207002,670
060871207003,927
060871208001,1105
060871208002,747
060871208003,618
060871209001,1149
060871209002,432
060871209003,1072
060871209004,681
060871210001,751
060871210002,330
060871210003,435
060871211001,288
060871211002,880
060871212001,293
060871212002,498
060871212003,857
060871212004,548
060871212005,311
060871213001,766
060871213002,262
060871213003,463
060871213004,194
060871214011,391
060871214012,536
060871214021,525
060871214022,838
060871214023,235
060871214031,767
060871214032,361
060871214033,297
060871215001,652
060871215002,459
060871215003,871
060871215004,522
060871215005,291
060871216001,357
060871216002,491
060871216003,1027
060871216004,721
060871216005,545
060871217001,1076
060871217002,207
060871217003,241
060871217004,1268
060871217005,272
060871217006,303
060871218001,749
060871218002,840
060871218003,948
060871218004,294
060871220011,578
060871220012,212
060871220013,317
060871220014,241
060871220015,617
060871220021,881
060871220022,513
060871220031,634
060871220032,443
060871220033,1034
060871220034,395
060871220035,272
060871221001,574
060871221002,686
060871221003,638
060871222011,423
060871222012,932
060871222013,538
060871222014,243
060871222015,427
060871222016,585
060871222017,281
060871222021,910
060871222031,1040
060871222032,688
060871223001,859
060871223002,437
060871223003,947
060871224001,750
060871224002,338
060871224003,484
060871224004,466
060871224005,280
060871224006,483
060871225001,259
060871225002,411
060871225003,534
060871225004,264
060871231001,432
060871231002,391
060871233001,459
060879901000,0
