GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median contract rent,Margin of Error; Median contract rent
1500000US060871001001,060871001001,"Block Group 1, Census Tract 1001, Santa Cruz County, California",-,**
1500000US060871001002,060871001002,"Block Group 2, Census Tract 1001, Santa Cruz County, California",1927,289
1500000US060871002001,060871002001,"Block Group 1, Census Tract 1002, Santa Cruz County, California",-,**
1500000US060871002002,060871002002,"Block Group 2, Census Tract 1002, Santa Cruz County, California",1723,54
1500000US060871002003,060871002003,"Block Group 3, Census Tract 1002, Santa Cruz County, California",1671,211
1500000US060871002004,060871002004,"Block Group 4, Census Tract 1002, Santa Cruz County, California",1479,536
1500000US060871002005,060871002005,"Block Group 5, Census Tract 1002, Santa Cruz County, California",1554,291
1500000US060871002006,060871002006,"Block Group 6, Census Tract 1002, Santa Cruz County, California",990,322
1500000US060871002007,060871002007,"Block Group 7, Census Tract 1002, Santa Cruz County, California",1326,196
1500000US060871003001,060871003001,"Block Group 1, Census Tract 1003, Santa Cruz County, California",745,266
1500000US060871003002,060871003002,"Block Group 2, Census Tract 1003, Santa Cruz County, California",1926,288
1500000US060871004001,060871004001,"Block Group 1, Census Tract 1004, Santa Cruz County, California",-,**
1500000US060871004002,060871004002,"Block Group 2, Census Tract 1004, Santa Cruz County, California",-,**
1500000US060871004003,060871004003,"Block Group 3, Census Tract 1004, Santa Cruz County, California",1387,27
1500000US060871005001,060871005001,"Block Group 1, Census Tract 1005, Santa Cruz County, California","2,000+",***
1500000US060871005002,060871005002,"Block Group 2, Census Tract 1005, Santa Cruz County, California",1546,264
1500000US060871005003,060871005003,"Block Group 3, Census Tract 1005, Santa Cruz County, California",1759,267
1500000US060871006001,060871006001,"Block Group 1, Census Tract 1006, Santa Cruz County, California",1541,266
1500000US060871006002,060871006002,"Block Group 2, Census Tract 1006, Santa Cruz County, California",1701,147
1500000US060871006003,060871006003,"Block Group 3, Census Tract 1006, Santa Cruz County, California",993,714
1500000US060871007001,060871007001,"Block Group 1, Census Tract 1007, Santa Cruz County, California",1426,223
1500000US060871007002,060871007002,"Block Group 2, Census Tract 1007, Santa Cruz County, California",1182,312
1500000US060871008001,060871008001,"Block Group 1, Census Tract 1008, Santa Cruz County, California",1258,177
