id,Total,White,Black,Indian_Alaska,Asian,Hawaiian_Pacific,Some_Other,Two_or_More,Hispanic_Latino
60871001001,97222,121354,60972,,,,,,60556
60871001002,121563,145096,,,,,67031,4375,68125
60871002001,71875,71154,,,,,,,
60871002002,90125,93487,,,,,,,
60871002003,67332,71136,,,,,,,39671
60871002004,78836,78767,,,250001,,,,77593
60871002005,36779,43103,28553,,,,,86250,49315
60871002006,21944,14773,,,,,,,14886
60871002007,95746,95746,,,,,,,
60871003001,80208,89423,,,,,,,
60871003002,140938,155179,,,,,,,
60871004001,102813,101563,,250001,168571,,,,69688
60871004002,,,,,,,,,
60871004003,27500,51612,,,26165,,,6574,19018
60871005001,103854,99954,,,2499,,,,
60871005002,87286,87679,,,80163,,,,41474
60871005003,78922,79957,,,2499,,,,12237
60871006001,78558,102527,,,,,,,101213
60871006002,105938,105500,,,250001,,,14750,72750
60871006003,72143,69000,,,,,,,107788
60871007001,51442,50192,,,44615,,52019,,85234
60871007002,26393,19851,,,75553,,,,63462
60871008001,77684,77868,12167,,,,,,113424
60871008002,61831,62151,,,,,,,
60871008003,26414,41125,,12500,90313,,,2499,16734
60871008004,53908,41196,,,64712,,53438,,52630
60871008005,74038,71250,,,,,,,26625
60871008006,52660,52660,,,,,,,44758
60871009001,56319,57222,,,,,,,50882
60871009002,41767,45750,,,33295,,,9527,46750
60871009003,57411,70227,,,,,,,87118
60871009004,81797,81797,,,,,,,80816
60871009005,76625,76625,,,,,,,
60871010001,26895,27266,2499,,20104,,45763,,47055
60871010002,39881,43333,,,,,,,38472
60871010003,19292,55306,,,,,,11971,
60871010004,21488,13450,,,,,54260,17333,53827
60871010005,98917,98917,,,,,,,
60871010006,28629,29859,,,11368,,,52583,22868
60871010007,29659,38906,,,4730,,24135,,22596
60871011001,71211,71191,,,,,,,73889
60871011002,52179,66458,,,,,,,100625
60871011003,75125,75125,,,,,,,
60871011004,90227,91591,179922,,,,,52679,5221
60871011005,64250,64167,,,,,,,49583
60871012001,64423,86250,11607,,31154,,,,42386
60871012002,106250,106493,,,,,,,212961
60871012003,69297,69609,,,34500,,,,188370
60871101001,34044,44792,,,75060,,34069,,34118
60871101002,26091,26221,,,,,27396,,27114
60871101003,63417,67303,,,31181,,55833,52841,77344
60871101004,44427,39276,,115357,66133,,30819,43942,35000
60871102001,60455,61364,,,103056,,26154,,39263
60871102002,52981,54295,,,,,40060,,47266
60871102003,44600,54508,,,,,11667,,43200
60871102004,56518,39613,,,89688,,68316,,37813
60871102005,72250,83403,,,3977,,60208,,82986
60871103001,44344,44781,,,,,31827,,48063
60871103002,21500,12452,,,,,25536,,22672
60871103003,43640,44191,,,,,36042,,43824
60871103004,22342,29653,,,27222,,14063,,22162
60871104001,38375,51053,,,,,24954,,37083
60871104002,37273,36629,,,,,39018,,40163
60871104003,45909,43594,,,,,60909,,46761
60871104004,89375,83125,,,100682,,93889,2499,67188
60871105011,26940,31875,,40125,,,21861,,26236
60871105012,27134,30500,,,18158,,18036,,25202
60871105013,65859,69444,,,53375,,58750,,55714
60871105014,56948,55938,,,,,60714,,73889
60871105021,44122,43074,,,19773,,65156,90703,47894
60871105022,46034,43600,,,,,71250,54583,46078
60871105023,74125,76083,,,,,55000,,105795
60871106001,63542,60990,,,148352,,68571,,60104
60871106002,59904,55982,,,115357,,89653,,54604
60871106003,77729,73393,,,,,104779,,77729
60871106004,23646,32228,,,,,19250,,22240
60871106005,41333,34865,,,,,62763,56500,41083
60871107001,67824,60882,,,56071,,83229,,68188
60871107002,56513,62917,,,,,42639,,47292
60871107003,44688,43984,,,,,45750,,46583
60871202001,89697,92386,,19286,110938,,51250,197857,36513
60871202002,76818,76932,,,250001,,,,58063
60871203011,82206,82390,,,22132,,,,73125
60871203012,73413,72861,,,,,,,
60871203013,90063,90063,,,,,,,
60871203021,101745,101745,,,,,,,
60871203022,95735,95110,,,,,,173750,44074
60871203023,57738,58194,,,,,,57813,
60871204001,85074,85074,,,,,,,
60871204002,105288,99681,,,,,,,92039
60871204003,77188,77188,,,,,,,
60871204004,59635,59635,,,,,,,
60871205001,186354,167750,,,250001,,,,
60871205002,127500,120089,,,250001,,,129375,69609
60871205003,64318,65000,,,,,,,46686
60871205004,83789,80288,,,,,,170588,101645
60871205005,88173,88173,,,250001,,,,
60871206001,91458,87250,,,,,,,103333
60871206002,71875,71875,,,,,,,125250
60871206003,72303,72303,,,,,,,
60871206004,95917,96667,,,,,,,26573
60871206005,68833,69917,,,,,,,
60871207001,59265,59265,,,,,,,26750
60871207002,83250,86048,,,60707,,,,128438
60871207003,86250,83333,,,,,,85521,147778
60871208001,54500,54167,,,47174,,,61250,111861
60871208002,135427,132414,,,,,,,240547
60871208003,116847,117946,,,114740,,,,100995
60871209001,113906,116071,,,113281,,,,
60871209002,113056,113958,,,,,,,
60871209003,133750,140750,,,144833,,,99674,79306
60871209004,112237,113750,,,79181,,,,111184
60871210001,101719,100078,,,,,,,6750
60871210002,103929,104732,,,,,,,
60871210003,111731,111346,,,,,,145000,141625
60871211001,118125,130833,,,88462,,,250001,100000
60871211002,68669,67863,,,,,,250001,50781
60871212001,66250,66250,,,,,,,41250
60871212002,131947,132111,,,,,,,
60871212003,109519,109856,,,,,250001,42232,156630
60871212004,76250,90000,,,31447,,,,
60871212005,142981,143846,,,,,,,104076
60871213001,62448,62344,,,153523,,180104,,82250
60871213002,81111,80278,,,,,,,
60871213003,71652,72679,,,97344,,67857,,64821
60871213004,36410,35691,,,,,78646,,66364
60871214011,52981,49063,,,,,,76071,98245
60871214012,56591,56136,,,2499,,95341,,69375
60871214021,52788,50568,,,74306,,45000,,30590
60871214022,55500,51707,,,,,163864,57679,43333
60871214023,62375,62025,,,119750,,,,142964
60871214031,60875,57368,2499,,81528,,,60875,23182
60871214032,61875,61518,,,,,,,57019
60871214033,56689,56272,,,84875,,,,56189
60871215001,145313,145313,,,,,,,
60871215002,59775,60167,,,,,,,55313
60871215003,50133,58672,,,,,,44507,34250
60871215004,49191,46607,,,,,,,49338
60871215005,21929,21748,,,,,,,
60871216001,44702,49167,,,,,,,42212
60871216002,70972,70972,,,,,,,
60871216003,52731,52685,,,174353,,,,24469
60871216004,92614,94318,,,,,,,53417
60871216005,31295,30385,,,,,43508,,30923
60871217001,39422,37836,,,59500,,53056,81964,50134
60871217002,58542,62841,,,,,,,52721
60871217003,80714,81607,,,,,,,
60871217004,48269,44725,,,,,,,24375
60871217005,56458,128162,,,19063,,,,57083
60871217006,92188,93750,,,,,69779,,69779
60871218001,86378,85299,,,,,,96719,96641
60871218002,54504,58542,,,,,,77534,47895
60871218003,47017,47167,,,,,,46466,45441
60871218004,57396,55833,250001,,,,,,
60871220011,67917,58375,,,,,,250001,193333
60871220012,110417,82250,,,,,,,165227
60871220013,66951,71250,,,,,31023,,250001
60871220014,38512,30682,,,,,,,
60871220015,98750,97422,,,,,,,107083
60871220021,91719,108250,,,,,,41563,37500
60871220022,94256,108875,250001,,90915,,,,
60871220031,83692,83285,,,,,,,74184
60871220032,59200,57900,,,,,,,98851
60871220033,73362,74483,,,215385,,,71250,98750
60871220034,50833,50313,,,,,,,80742
60871220035,53472,50956,,,,,,,
60871221001,63750,62857,,,,,,,23864
60871221002,62500,63077,,,,,,,29028
60871221003,53365,48936,,,64550,,29712,36875,47800
60871222011,128393,128393,,,,,,,
60871222012,72375,71667,,,,,,,32308
60871222013,99196,103333,,,,,,,
60871222014,114773,138500,,,,,21500,,16667
60871222015,67625,68313,,,,,,,69969
60871222016,82782,83266,,,,,,,68750
60871222017,53345,53345,,,,,,,85417
60871222021,97431,101250,,,64091,,2499,,101094
60871222031,105134,106250,,58036,,,,,106250
60871222032,100302,100474,,,250001,,,,128295
60871223001,59583,55000,,,,,,,26250
60871223002,95326,96033,,,,,,,
60871223003,96429,95107,,,104602,,,,
60871224001,79598,78348,,,,,152917,,153125
60871224002,51250,51250,,,,,,,
60871224003,69306,82548,,,,,,,50809
60871224004,92117,92117,,,,,,,115319
60871224005,73879,73879,,,,,,,65875
60871224006,75156,75156,,,,,,,95156
60871225001,97639,86250,,,,,130714,,104861
60871225002,59457,58913,,,101985,,51815,,52097
60871225003,75104,80987,,,4659,,65250,,80132
60871225004,59120,58333,,,,,31652,,57250
60871231001,47813,45833,,,,,,,44079
60871231002,66806,80096,,,26471,,36563,,36895
60871233001,60179,61940,,,,,13865,,50714
