id,Total,White,Black,Indian_Alaska,Asian,Hawaiian_Pacific,Some_Other,Two_or_More,Hispanic_Latino
60871001001,125163,128646,,,31574,,,,
60871001002,115192,117857,,,,,,2499,68438
60871002001,71500,61250,,,83357,,,,
60871002002,82444,88462,,,,,,,
60871002003,81333,81528,,,92888,,,,
60871002004,66942,66429,,,250001,,,,4323
60871002005,35995,37245,28560,,,,,160294,48372
60871002006,26094,21447,,,,,,,14896
60871002007,93625,93625,,,,,,,
60871003001,68250,64583,,,250001,,,,
60871003002,112000,122500,,,,,,,
60871004001,137868,102000,,250001,173021,,,,68750
60871004002,,,,,,,,,
60871004003,26766,31786,,,26401,,,,18750
60871005001,84464,87786,,,2499,,19722,,50833
60871005002,87943,87839,,,80529,,116940,,65612
60871005003,92826,94896,,,2499,,,,
60871006001,80078,99459,,,,,,,98953
60871006002,90357,90357,,,197500,,,14167,49091
60871006003,66042,64931,,,,,,,107833
60871007001,52000,51447,,,,,51477,59286,52159
60871007002,27857,26959,,,6542,,99519,,27768
60871008001,76278,76136,12232,,,,,,110052
60871008002,52176,60982,,,,,,,31780
60871008003,40304,41014,,9612,72788,,,,28750
60871008004,56607,53500,,,85755,,53702,,53918
60871008005,59549,77778,,,,,,,26776
60871008006,52621,44595,,,,,,,44730
60871009001,91719,90781,,,,,,,49833
60871009002,42012,52762,,,33317,,,9103,38036
60871009003,47358,66964,,,,,,,86993
60871009004,92606,92606,,,,,,,79342
60871009005,73438,73438,,,,,,,
60871010001,29118,32202,5060,,7446,,45833,,45353
60871010002,37849,38256,,,,,,,38343
60871010003,40216,53362,,,,,,12177,
60871010004,23676,15625,,,,,51829,15647,72434
60871010005,66731,66731,,,,,,,
60871010006,35061,40481,,,11233,,35096,,22396
60871010007,26731,29728,,,17672,,27500,70347,35536
60871011001,92667,93833,,,,,,,73854
60871011002,70667,71833,,,,,,,98750
60871011003,46607,46607,,,,,,,
60871011004,91429,92734,177176,,,,,250001,49648
60871011005,81458,87585,,,,,,,51250
60871012001,60278,80972,11612,,7250,,87031,,125045
60871012002,102934,102934,,,,,,,208167
60871012003,72902,73214,,,,,,,185170
60871101001,42750,43750,,,48750,,62500,,46042
60871101002,26888,38235,,,12794,,27212,,28875
60871101003,64875,75729,,,,,54444,53077,87985
60871101004,41853,39901,,112827,69271,,30573,,32273
60871102001,47692,47885,,,100139,,27273,,57188
60871102002,51573,58438,,,,,29773,,46065
60871102003,51176,68041,,,,,11179,,41384
60871102004,42188,40833,,,86845,,21635,,21250
60871102005,80068,82466,,,4609,,61579,,113214
60871103001,42750,42938,,,,,32330,,44625
60871103002,21745,18646,,,,,25078,,22424
60871103003,41402,42159,,,,,35938,,37083
60871103004,26369,46442,,,,,14167,,26458
60871104001,39653,48405,,,,,25313,,42852
60871104002,35658,35543,,,,,35833,,37417
60871104003,36068,35362,,,,,58889,,33906
60871104004,76379,59561,,,99792,,94375,2499,59231
60871105011,30417,38287,,,,,21479,,26436
60871105012,29704,27697,,,17955,,48750,,29539
60871105013,57111,66898,,,54375,,50313,,54167
60871105014,53726,52901,,,,,56875,,61087
60871105021,49438,41078,,,139479,,75972,88889,48875
60871105022,50764,45568,,,161250,,74844,,46970
60871105023,73629,74718,,,7386,,59318,,110156
60871106001,65000,64115,,,145602,,52120,,64115
60871106002,74438,69911,,,113047,,,,59868
60871106003,60431,57188,,,,,100795,,60474
60871106004,22353,30515,,,,,18239,,25896
60871106005,43835,43580,,,,,49444,24777,43750
60871107001,55833,62500,,,40288,,68295,,67955
60871107002,53462,54712,,,,,42321,,46667
60871107003,43468,41875,,,,,44276,,43831
60871202001,90956,92279,,100375,57083,,138125,36250,37417
60871202002,73056,72167,,,250001,,,,55655
60871203011,92917,97813,,,,,,,41429
60871203012,67235,65644,,,,,,,
60871203013,108021,107833,,,,,,250001,
60871203021,98061,98367,,,,,,,84792
60871203022,93839,93929,,,,,,168438,56250
60871203023,57625,59000,,,,,,,
60871204001,57273,57273,,,,,,,
60871204002,97316,96988,,,,,,,89514
60871204003,93047,93047,,,,,,,75341
60871204004,62167,62167,,,,,,,
60871205001,185417,178750,,,250001,,,,
